QueryText,KccAns
for control of yellowing of paddy nursery,use feso4 40gm caco3 20gm10lit
asking control for leaf getting yellowish in paddy,advice to use feso4 40gm  caco3 20gmpump
asking for green manuring,use ikkad for green manuring
for control of yellowing of paddy,use feso4 40gm caco3 20gm10lit
blank call,blank call
ask about fertilizer in seedling of paddy,use amonium sulphate
asking about sucking pest in guar,advice to use immidacloprid 7ml  acephate 10gmpump
asking about sucking pest in guar,advice to use immidacloprid 7ml  acephate 10gmpump
asking about fertilizer dose in lemon,advice to use 2kg as 3kg sp 500gm moptree
asking time of sowing of cotton,prefer jun-juuly
asking of sowing time of cotton,advice to june to july
blank call,blank call
asking for fertiliser dose of cotton,advice to give 50-50-50kg npk per hac
ask for th efertilizer doesof cotton,use of 50-50-50 kg npkhacof land
heliothis in cotton,advice to give quinalphos 25-30mlpump
wilt in cotton,use of hexaclonazol 20mlpump
ask about market information of fennel,give him market information
blank call,blank call
ask about sucking pest in cotton,use imidaclorpride 8 ml  acephate 15 g pump
asking vareity in seasamum,prefer gs-1210
ask about weather,no rain possibility
for sowing season of fodder maize,in june-july
ask for the sowing time of sandal wood,sowing in june-october
ask for the seed rate of sun hemp,use of 60 kg seedhac of land
ask about fertilizer in paddy,blank
ask about fertilizer in paddy,use amonium sulphate 
asking of market price of jowar,price of 1135 to 2000 rsquintal
asking market price of bajara,market price of bajara rs805-900qnt
blank call,blank call
ask about variety of cow pea,use pusa falgunipusa komal
ask about rain possibility,possibility of scattered rain
asking information about weather forecast,their is possibility of rainfall uptil 28th june
asking about sowing time of tobbaco,sowing in august
asking of sowing time of caster,advice to june to july
ask about yellowing of paddy seedlings,use 250gmasbed 15 days after planting
asking contact no of nearest nursery,give contact no of nursery
ask about contact no of nursery,blank
ask about contact no of aau,give him contact number
ask for the contect number of nurccery,give the contect number
ask for the fertilizer doseof chilli,use of 40-40-00 gk npkhac of land
for address of oil engine,blank
asdk for the wilt in paddy nurcerry,use of mencozeb 25gmpump
ask about rain possibility,possibility of scattered rain
ask about split fertiliser in paddy,use 250gmasbed 15das
ask about variety of couliflower,pusa earlykartaki grouppusa ketki
variety of bajra,prfere ghb-526558229
asking about wilt in bitter gourd,advice to use mencozeb 30gmpump
asking for rainfall,possibility of rainfall
ask about gujarat agro industries address and contact number,give him contact number
asking for variety of sesamum,guj-12
asking control for leaf getting yellowish in paddy,advice to use 40gm ferrous sulphate  20gm caco3pump
asking for doing land mesamurment,advice to contact to mamalatdar office
ask about subsidy in submersible pump,available upto 60
ask for the weaather report,possibilty of rain fall
ask for th evarities of tur,use of bdn-2guj-tur-100101
ask for the weather report,possibility of rain fall
fertilizer doseof cotton,use of 50-50-50 kg npkhac of land
asking variety in seasamum,prefer gs-1210
asking control for leaf getting yellowish in paddy nursery bed,blank
asking of yellowish colour in paddy,use feso4 40 caco3 20gmpump
asking for rainfall,possibility of rainfall
fertiliser dose of cotton,advice to give 50-50-50kg per hac
for fertilizer dose in cotton,give 50:50:50kgha npk
ask for the varities of coly flower,use of pusa arlipusa dipalipusasubrapusa ketki
ask about subsidy on submursible pump,available upto 60
ask about yellowish in maize,give uria
ask about weather,yes possibility of rain fall
asking of variety of cotton,use krushidhan-12digvijay
asking of yellowish seedbed colour in paddy,use feso4 40g caco3 20g
ask about weather,no possibility of rain
ask about yellowish in seedling of paddy,use amonium sulphate 250 in one seed bade
ask about weather,no possibility of rain
weed in field,advice to spray glyphoset 50gmpump
for control of yellowing in paddy,use feso4 40gm caco3 20gm10lit
ask for the sowing time of pigeonpea,sowing in june-july
ask for the sowing time of pigeonpea,sowing in june-july
asking of thrips in cotton,use imidacloprid 8mlacephate 10gmpump
ask about yellowish in paddy seedling,give 250gm amonium sulphate bed
asking of seed tertment in groundnut,advice to use thiram 3gm1kg seed
ask about sandalwood tree,give propar information
ask about fertilizer in paddy seedling,use amonium sulphate in seedling of paddy
ask about mop fertilizer,blank
ask about content in murate of potass,00-00-50 kgkha
ask about fungus in paddy,use mencozeb 30 g pump
ask about subsidy on tractor,available upto 45000
ask about mealy bug in cotton,use mithail pera thion
asking of seed rate of sorghum,advice to 10 to 12 kgha
ask about weather,chance of rainfall
ask for ht emarket price of lottle gaurd,give the market price
asking of rainfall,advice to possibility of rain
ask about contact number of anand horticulture office,give him contact number
asking contact no of ananad horticulture office,blank
for control of wilt in cotton,use hexaclonozole 30mlpump
asking about anand agri uni number,give proper information
asking herbicide use in ground nut,not recommended in standing crop
asking herbicide use in ground nut,not recommended in standing crop
asking of yellowish colour of seedbed in paddy,use feso4 40gcaco3 20g
asking of soil testing leboratary,give to contect no
asking of variety of bajra,to use ghb-235316526
asking of seed rate of caster,use to 5 to 7 kg ha
asking of where to give power trillar,to give contect no of junagadh agriculture university
yellowish leaf in paddy,advice to spray feso4 100gmcitric acid 10mlpump
ask about weather,yes possibility of rain fall next day
asking weather information for rain,chance of rain on 91011th july
asking weather information for rain,chance of rain
asking weather information for rain,chance of rain on 91011th july
asking wilt in cotton,use mencozeb 40gmpump
asking varety in seasamum,prefer gs-1210
asking contact no of anand agriculture uni,give contact no
for fertilizer dose in cotton,give 40kgha nitrogen
asking of rainfall,possibility of rain
asking weather report,chance of rain
asking weather,chance of rain
asking about weather,chance of rain
for vareity of maize,gujmaize-346
variety of bajra,prfer gch-526229558
variety of urad,prfere t-4 and tpu-4
blank call,blank call
asking about fungicide use in tobacco,use mencozeb 35gmpump
ask about weather,yes possibility of rain fall
asking variety in soyabean,prefer gs-12
asking of seed tretment in fenel,advice to use mancozeb 3gm1 kg seed
for control of wilt in cotton,use hexaclonozole 30mlpump
yellowish leaf in paddy,advice to spray ferous sulphate and citric acid
asking of weed control in paddy,advice to glyfoset 1kgha
asking about castor variety,prefer gch-24567
blank call,blank call
asking for soil testing laboratory number,i have given number of thasra soil testing laboratory
askf or the low growth of sponge gaurd,use of micronutriant
asking contact no of gujarat stae seed corporation of indiagandhinagar,give contact no
ask about variety of caster,gch-24567
asking fertiliser in cotton in split,use 40-50kgnha as split
falling of coconut flower,advice to grow more than 2 tree
asking of fertilizer in cotton,use n 50kgha
asking weather information for rain,slow rain possibility
heliothis in cucumber,advice to spray quinalphos 25-30mlpump
asking about weather,possibility of rain
asking control for root rotting in cotton,advice to use hexaconozole 25-30mlpump and do drenching
ask about seed germination problem in cotton of private company,advise to contact seed company
ask about fertilizer in banana,give 140gm uria 115gm mopplant
asking control for worms in paddy,advice to use carbofuran 3g 18kghac
asking about how to make bordomixture,give proper information
ask for the wilt in cotton,use of hexaclonazol 20mlpump
asking control for root rotting in cotton,advice to use hexaconozole 25-30mlpump and do drenching
ask aboutb weather,yes possibility of rain fall
for cultivation of sandalwood,blank
ask for the fertilizer dose of jetrofa,advice to use of 30-20-00 kg npkhac of land
ask for the total production of jetrofa,production 1000 to 1200 kg hac of land in year
asking control for weed in castor at 15days,advice for hand weeding and interculturing
white grub in tobbaco,advice to give carbofuran 25kg per hac
asking nursery phone number,give proper information
for control of rotting in tobacco,use hexaclonozole 30mlpump
asking about weather forecast,possibility of rainfall
asking wilt in cotton,use hexachlonazol 20mlpump
as about weather,yes possibility of rain fall
ask about weather,yes possibility of rain fall
ask about growth hormons in cotton,use naa 3 g pump
ask for the richarg of well in sab sidy,contect to gram sevak
asking information about from where to get the booklets of agriculture,gave the contact noof anand agriculture university
asking about weather,possibility of rain
for control of heliothis in brinjal,use indoxicarb 25mlpump
asking for fertilizer dose in pomegranate,give 100:50:100gmtree npk
fertilizer dose in groundnut,use 125-25-00 npk kgha
ask aboutsucking pest in cotton,use imidaclorpride 8 ml  acephate 15 g pump
ask for th e herbicide for the maize,use of atrazin
ask for hte crop lown information,contect to nationalise bank
ask for the plantation time of paddy,after 35 day of sowing nuccery than plantation done
ask for the sab sidy in rotavetor,sab sidy up to 30000 or 50
asking about weather forecast,possibility of rainfall
blank call,blank call
asking fertiliser dose in paddy after transplanting,advice to give 40kg ammonium sulphate  20kg dap per vigha
ask for the redish of cotton leaf,use of mgso4 30-40gmpump
ask for the growth retardant in cotton,use of liosin 10mlpump
ask about variety of caster,gch-24567
ask about sucking pest in cotton,use trisophose 15mlpump
for control of sucking pest in cotton,use imidacloprid 8mlpump
asking about rain information,no rainfalll
for fertilizer dose in paddy,give 18kgvigh urea
for vareity of castor,gch-456
ask for the wilt resistance varities of castor,use of gch-7
asking about rainfall,no rain possibility
for control of sucking pest in cotton,use imidacloprid 8mlpump
weed in pea,prfere hand weeding at the time of post emergence time
weed in pea,prfere hand weeding at the time of post emergence time
asking for elephant foot planting material,i have given nursery number
ask about millybugin cotton,use quinalphose 20mlddvp 8mlpump
ask about wilt in paddy,use mencozeb 30gmpump
asking wilt in cotton,prefer haxaconasol 20 mlpump
ask about fungus in paddy,use mencozeb 30gmpump
